Input Sanskrit Text,Diversity,Repetition Penalty,Diversity Penalty,Length Penalty,Output Text,timestamp
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:10:07.184607
,medium,1.15,0,1,,2026-03-02 22:10:27.884057
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:11:35.996740
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:12:11.607501
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:13:19.555890
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:26:12.338018
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,medium,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:27:12.545838
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,high,1.15,0,1,ष्यं शून्य तां प्रजा नाति ईदृ शं रूप । । चा चा सौ च्च सं भूयः भ ेन परा व्य तुम् ॥,2026-03-02 22:27:26.017578
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,high,1.5,0.5,1,चित्रं पारमिता भिः न्तु नाति छ सर्वत्र रूप ल न विन्द चा ेन ेण कला द्यो ताभ्यां चिन्त रत्न ही शाम् नम् श्रियम् च बलम् ।॥ । गे संकल्प मसि क्वचित्,2026-03-02 22:27:41.041212
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.5,0.5,1,्यः शून्य तां प्रजा नाति श् शं रूप । । न चा सौभाग्य मार योजन भ भ ह्य ह्य जि ॥ ॥,2026-03-02 22:27:51.614813
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,medium,1.5,0.5,1,्यः शून्य तां प्रजा नाति श् शं रूप । । न चा सौभाग्य मार योजन भ भ ह्य ह्य जि ॥ ॥,2026-03-02 22:28:00.703692
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,medium,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:29:42.915405
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:30:09.079939
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.5,0,1,्यः शून्य तां प्रजा नाति श् शं रूप वि । न चा सौभाग्य मार योजन भ भ ह्य ह्य जि ॥ ॥,2026-03-02 22:30:30.638171
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,high,1.5,0,1,त्र्य शून्य मल प्रजा नाति श् अग्र पद्म वि नु । तेन सुराणां वादि चक्षु व्य भि भ इ ौ ः षाम् ।। ते । ।॥ अग हृदय लम्,2026-03-02 22:30:42.424893
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,medium,1.5,0,1,्यः शून्य तां प्रजा नाति श् शं रूप वि । न चा सौभाग्य मार योजन भ भ ह्य ह्य जि ॥ ॥,2026-03-02 22:30:59.837581
{vajra:: māraṇa} raktotpalasya mūlaiśca meghanādasya kuḍmalaiḥ / piṇḍitairveṣṭitaṃ dhmātaṃ vajraṃ bhasma bhavatyalam,medium,1.5,0,1,म्य वज्र चर्म मार ण म र भग त्पल स्य मूल ैश्च स्ते नाद सुरा कु े े रैः । पि सं ल ल ैक मा र च रं च च र लम् ॥,2026-03-02 22:31:12.654695
{vajra:: māraṇa} raktotpalasya mūlaiśca meghanādasya kuḍmalaiḥ / piṇḍitairveṣṭitaṃ dhmātaṃ vajraṃ bhasma bhavatyalam,medium,1.2,0.5,1,{ वज्र रत्न मार ण म र क्तो त्पल स्य मूल ैश्च मेघ नाद सुरा कु म मल ैः । पि ितम् ितम् ल ैक मा मा ं रं च धू वां लम्,2026-03-02 22:31:40.515754
